datetime,load,consumer_id
2015-08-12,64.84,mm79158
2015-08-13,100.8875,mm79158
2015-08-14,61.805,mm79158
2015-08-15,45.0325,mm79158
2015-08-16,42.44,mm79158
2015-08-17,127.7225,mm79158
2015-08-18,120.005,mm79158
2015-08-19,120.1225,mm79158
2015-08-20,97.615,mm79158
2015-08-21,92.5325,mm79158
2015-08-22,40.9025,mm79158
2015-08-23,38.6375,mm79158
2015-08-24,82.6225,mm79158
2015-08-25,132.8275,mm79158
2015-08-26,106.8525,mm79158
2015-08-27,128.46,mm79158
2015-08-28,114.735,mm79158
2015-08-29,80.95,mm79158
2015-08-30,52.79,mm79158
2015-08-31,128.235,mm79158
2015-09-01,121.3775,mm79158
2015-09-02,138.35,mm79158
2015-09-03,115.7375,mm79158
2015-09-04,179.915,mm79158
2015-09-05,98.1475,mm79158
2015-09-06,34.66,mm79158
2015-09-07,126.9675,mm79158
2015-09-08,115.91,mm79158
2015-09-09,113.495,mm79158
2015-09-10,109.4375,mm79158
2015-09-11,85.04,mm79158
2015-09-12,45.895,mm79158
2015-09-13,34.4025,mm79158
2015-09-14,139.6625,mm79158
2015-09-15,125.8425,mm79158
2015-09-16,130.635,mm79158
2015-09-17,105.45,mm79158
2015-09-18,130.305,mm79158
2015-09-19,44.84,mm79158
2015-09-20,161.63,mm79158
2015-09-21,106.6875,mm79158
2015-09-22,132.555,mm79158
2015-09-23,128.0575,mm79158
2015-09-24,154.3175,mm79158
2015-09-25,173.4225,mm79158
2015-09-26,177.145,mm79158
2015-09-27,63.3375,mm79158
2015-09-28,128.665,mm79158
2015-09-29,128.69,mm79158
2015-09-30,132.43,mm79158
2015-10-01,165.91,mm79158
2015-10-02,192.3775,mm79158
2015-10-03,129.91,mm79158
2015-10-04,111.795,mm79158
2015-10-05,129.9,mm79158
2015-10-06,176.035,mm79158
2015-10-07,203.5825,mm79158
2015-10-08,189.4,mm79158
2015-10-09,191.47,mm79158
2015-10-10,202.075,mm79158
2015-10-11,84.235,mm79158
2015-10-12,196.2125,mm79158
2015-10-13,210.125,mm79158
2015-10-14,234.0325,mm79158
2015-10-15,469.2998,mm79158
2015-10-16,300.77,mm79158
2015-10-17,293.8625,mm79158
2015-10-18,239.315,mm79158
2015-10-19,310.015,mm79158
2015-10-20,324.435,mm79158
2015-10-21,357.9625,mm79158
2015-10-22,316.5425,mm79158
2015-10-23,345.2225,mm79158
2015-10-24,253.63,mm79158
2015-10-25,271.2125,mm79158
2015-10-26,299.3575,mm79158
2015-10-27,346.884,mm79158
2015-10-28,311.64,mm79158
2015-10-29,289.495,mm79158
2015-10-30,299.34,mm79158
2015-10-31,315.2775,mm79158
2015-11-01,285.32,mm79158
2015-11-02,395.0025,mm79158
2015-11-03,373.2175,mm79158
2015-11-04,379.7175,mm79158
2015-11-05,356.7325,mm79158
2015-11-06,433.9775,mm79158
2015-11-07,537.0175,mm79158
2015-11-08,334.3575,mm79158
2015-11-09,357.3975,mm79158
2015-11-10,343.4625,mm79158
2015-11-11,360.5925,mm79158
2015-11-12,365.855,mm79158
2015-11-13,348.46,mm79158
2015-11-14,323.085,mm79158
2015-11-15,289.2225,mm79158
2015-11-16,350.8375,mm79158
2015-11-17,321.2275,mm79158
2015-11-18,323.7625,mm79158
2015-11-19,310.7225,mm79158
2015-11-20,316.895,mm79158
2015-11-21,369.6125,mm79158
2015-11-22,414.595,mm79158
2015-11-23,428.4875,mm79158
2015-11-24,444.1875,mm79158
2015-11-25,428.8175,mm79158
2015-11-26,425.845,mm79158
2015-11-27,463.7725,mm79158
2015-11-28,468.28,mm79158
2015-11-29,462.4375,mm79158
2015-11-30,393.22,mm79158
2015-12-01,353.08,mm79158
2015-12-02,376.445,mm79158
2015-12-03,416.0325,mm79158
2015-12-04,371.1575,mm79158
2015-12-05,347.6,mm79158
2015-12-06,369.26,mm79158
2015-12-07,398.305,mm79158
2015-12-08,358.925,mm79158
2015-12-09,363.91,mm79158
2015-12-10,354.255,mm79158
2015-12-11,320.0425,mm79158
2015-12-12,353.705,mm79158
2015-12-13,304.375,mm79158
2015-12-14,321.375,mm79158
2015-12-15,336.0525,mm79158
2015-12-16,302.91,mm79158
2015-12-17,345.61,mm79158
